accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.35133597254753113,1.7955044507980347,0.4318223297595978,0.2247489094734192,0.35239362716674805,2.6166651248931885,0.37704917788505554,0.3058510720729828,0.0010000000474974513
0.4375,1.5207810401916504,0.5,0.28125,0.3510638177394867,2.64902400970459,0.37808895111083984,0.3051861822605133,0.0010000000474974513
0.44191774725914,1.4444659948349,0.5743762850761414,0.2901269793510437,0.3583776652812958,2.575531005859375,0.3649000823497772,0.27925533056259155,0.0010000000474974513
0.5625,1.3390631675720215,0.7272727489471436,0.25,0.35571807622909546,2.601834297180176,0.3660637438297272,0.28257977962493896,0.0010000000474974513
0.48862990736961365,1.3260160684585571,0.6232219338417053,0.33210158348083496,0.41888296604156494,1.9288249015808105,0.45412418246269226,0.3257978856563568,0.0010000000474974513
0.4375,1.3803620338439941,0.7857142686843872,0.34375,0.41156914830207825,1.942367672920227,0.45371219515800476,0.3291223347187042,0.0010000000474974513
0.5170551538467407,1.265947699546814,0.6545391082763672,0.35455751419067383,0.47074466943740845,1.5231698751449585,0.5462512373924255,0.37300533056259155,0.0010000000474974513
0.59375,1.056504726409912,0.8333333134651184,0.46875,0.4694148898124695,1.5347894430160522,0.5437921285629272,0.3756648898124695,0.0010000000474974513
0.536858081817627,1.2114189863204956,0.6807136535644531,0.37957173585891724,0.501329779624939,1.3431673049926758,0.6026557683944702,0.3922872245311737,0.0010000000474974513
0.59375,1.1460529565811157,0.7368420958518982,0.4375,0.49534574151039124,1.3541593551635742,0.6000000238418579,0.39095744490623474,0.0010000000474974513
0.551449716091156,1.1746639013290405,0.6747740507125854,0.3890468180179596,0.5339095592498779,1.2262580394744873,0.6435331106185913,0.4069148898124695,0.0010000000474974513
0.75,0.8671326637268066,0.8999999761581421,0.5625,0.5372340679168701,1.2162413597106934,0.6479321122169495,0.40625,0.0010000000474974513
0.5640515685081482,1.1403661966323853,0.6963199973106384,0.4123555123806,0.5405585169792175,1.2005609273910522,0.6386969685554504,0.4301861822605133,0.0010000000474974513
0.59375,1.097196102142334,0.6818181872367859,0.46875,0.5405585169792175,1.1986618041992188,0.6393280625343323,0.4301861822605133,0.0010000000474974513
0.5766534209251404,1.102575659751892,0.7047781348228455,0.4304529130458832,0.5691489577293396,1.132131576538086,0.6963906288146973,0.43617022037506104,0.0010000000474974513
0.6875,0.8780412673950195,0.8181818127632141,0.5625,0.5658244490623474,1.1313767433166504,0.6919032335281372,0.4375,0.0010000000474974513
